Date,Predicted
2018-10-19,47925.12563223907
2018-10-22,47941.541218468126
2018-10-23,47957.95680469718
2018-10-24,47974.37239092624
2018-10-25,47990.7879771553
2018-10-26,48007.203563384355
2018-10-29,48023.61914961341
2018-10-30,48040.03473584247
2018-10-31,48056.45032207153
2018-11-01,48072.865908300584
2018-11-02,48089.28149452964
2018-11-05,48105.6970807587
2018-11-06,48122.112666987756
2018-11-07,48138.52825321681
2018-11-08,48154.94383944587
2018-11-09,48171.35942567493
2018-11-12,48187.775011903985
2018-11-13,48204.19059813304
2018-11-14,48220.6061843621
2018-11-15,48237.02177059116
2018-11-16,48253.43735682021
2018-11-19,48269.85294304927
2018-11-20,48286.26852927833
2018-11-21,48302.684115507385
2018-11-22,48319.09970173644
2018-11-23,48335.5152879655
2018-11-26,48351.93087419456
2018-11-27,48368.346460423614
2018-11-28,48384.76204665267
2018-11-29,48401.17763288173
2018-11-30,48417.593219110786
2018-12-03,48434.00880533984
2018-12-04,48450.4243915689
2018-12-05,48466.83997779796
2018-12-06,48483.255564027015
2018-12-07,48499.67115025607
2018-12-10,48516.08673648513
2018-12-11,48532.50232271419
2018-12-12,48548.917908943244
2018-12-13,48565.3334951723
2018-12-14,48581.74908140136
2018-12-17,48598.164667630415
2018-12-18,48614.58025385947
2018-12-19,48630.99584008853
2018-12-20,48647.41142631759
2018-12-21,48663.827012546644
2018-12-24,48680.2425987757
2018-12-26,48696.65818500476
2018-12-27,48713.073771233816
2018-12-28,48729.48935746287
2019-01-02,48745.90494369193
2019-01-03,48762.32052992099
2019-01-04,48778.736116150045
2019-01-07,48795.1517023791
2019-01-08,48811.56728860816
2019-01-09,48827.98287483722
2019-01-10,48844.398461066274
2019-01-11,48860.81404729533
2019-01-14,48877.22963352439
2019-01-15,48893.645219753445
2019-01-16,48910.0608059825
2019-01-17,48926.47639221156
2019-01-18,48942.89197844062
2019-01-21,48959.307564669674
2019-01-22,48975.72315089873
2019-01-23,48992.13873712779
2019-01-24,49008.554323356846
2019-01-25,49024.9699095859
2019-01-28,49041.38549581496
2019-01-29,49057.80108204402
2019-01-30,49074.216668273075
2019-01-31,49090.63225450213
2019-02-01,49107.04784073119
2019-02-07,49123.46342696025
2019-02-08,49139.879013189304
2019-02-11,49156.29459941836
2019-02-12,49172.71018564742
2019-02-13,49189.125771876475
2019-02-14,49205.54135810553
2019-02-15,49221.95694433459
2019-02-18,49238.37253056365
2019-02-19,49254.788116792704
2019-02-20,49271.20370302176
2019-02-21,49287.61928925082
2019-02-22,49304.034875479876
2019-02-25,49320.45046170893
2019-02-26,49336.86604793799
2019-02-27,49353.28163416705
2019-02-28,49369.697220396105
2019-03-04,49386.11280662516
2019-03-05,49402.52839285422
2019-03-06,49418.94397908328
2019-03-07,49435.359565312334
2019-03-08,49451.77515154139
2019-03-11,49468.19073777045
2019-03-12,49484.606323999506
2019-03-13,49501.02191022856
2019-03-14,49517.43749645762
2019-03-15,49533.85308268668
2019-03-18,49550.268668915734
2019-03-19,49566.68425514479
2019-03-20,49583.09984137385
2019-03-21,49599.515427602906
2019-03-22,49615.93101383196
2019-03-25,49632.34660006102
2019-03-26,49648.76218629008
2019-03-27,49665.177772519135
2019-03-28,49681.59335874819
2019-03-29,49698.00894497725
2019-04-01,49714.42453120631
2019-04-02,49730.840117435364
2019-04-03,49747.25570366442
2019-04-04,49763.67128989348
2019-04-05,49780.086876122536
2019-04-08,49796.50246235159
2019-04-09,49812.91804858065
2019-04-10,49829.33363480971
2019-04-11,49845.749221038765
2019-04-12,49862.16480726782
2019-04-15,49878.58039349688
2019-04-16,49894.995979725936
2019-04-17,49911.41156595499
2019-04-18,49927.82715218405
2019-04-19,49944.24273841311
2019-04-22,49960.658324642165
2019-04-23,49977.07391087122
2019-04-24,49993.48949710028
2019-04-25,50009.90508332934
2019-04-26,50026.320669558394
2019-04-29,50042.73625578745
2019-04-30,50059.15184201651
2019-05-02,50075.567428245566
2019-05-03,50091.98301447462
2019-05-07,50108.39860070368
2019-05-08,50124.81418693274
2019-05-09,50141.229773161795
2019-05-10,50157.64535939085
2019-05-13,50174.06094561991
2019-05-14,50190.476531848966
2019-05-15,50206.89211807802
2019-05-16,50223.30770430708
2019-05-17,50239.72329053614
2019-05-20,50256.138876765195
2019-05-21,50272.55446299425
2019-05-22,50288.97004922331
2019-05-23,50305.38563545237
2019-05-24,50321.801221681424
2019-05-27,50338.21680791048
2019-05-28,50354.63239413954
2019-05-29,50371.047980368596
2019-05-30,50387.46356659765
2019-05-31,50403.87915282671
2019-06-03,50420.29473905577
2019-06-04,50436.710325284825
2019-06-05,50453.12591151388
2019-06-07,50469.54149774294
2019-06-10,50485.957083971996
2019-06-11,50502.37267020105
2019-06-12,50518.78825643011
2019-06-13,50535.20384265917
2019-06-14,50551.619428888225
2019-06-17,50568.03501511728
2019-06-18,50584.45060134634
2019-06-19,50600.8661875754
2019-06-20,50617.281773804454
2019-06-21,50633.69736003351
2019-06-24,50650.11294626257
2019-06-25,50666.528532491626
2019-06-26,50682.94411872068
2019-06-27,50699.35970494974
2019-06-28,50715.7752911788
2019-07-01,50732.190877407855
2019-07-02,50748.60646363691
2019-07-03,50765.02204986597
2019-07-04,50781.43763609503
2019-07-05,50797.85322232408
2019-07-08,50814.26880855314
2019-07-09,50830.6843947822
2019-07-10,50847.099981011255
2019-07-11,50863.51556724031
2019-07-12,50879.93115346937
2019-07-15,50896.34673969843
2019-07-16,50912.762325927484
2019-07-17,50929.17791215654
2019-07-18,50945.5934983856
2019-07-19,50962.009084614656
2019-07-22,50978.42467084371
2019-07-23,50994.84025707277
2019-07-24,51011.25584330183
2019-07-25,51027.671429530885
2019-07-26,51044.08701575994
2019-07-29,51060.502601989
2019-07-30,51076.91818821806
2019-07-31,51093.333774447114
2019-08-01,51109.74936067617
2019-08-02,51126.16494690523
2019-08-05,51142.580533134285
2019-08-06,51158.99611936334
2019-08-07,51175.4117055924
2019-08-08,51191.82729182146
2019-08-09,51208.242878050514
2019-08-12,51224.65846427957
2019-08-13,51241.07405050863
2019-08-14,51257.489636737686
2019-08-16,51273.90522296674
2019-08-19,51290.3208091958
2019-08-20,51306.73639542486
2019-08-21,51323.151981653915
2019-08-22,51339.56756788297
2019-08-23,51355.98315411203
2019-08-26,51372.39874034109
2019-08-27,51388.814326570144
2019-08-28,51405.2299127992
2019-08-29,51421.64549902826
2019-08-30,51438.061085257315
2019-09-02,51454.47667148637
2019-09-03,51470.89225771543
2019-09-04,51487.30784394449
2019-09-05,51503.723430173544
2019-09-06,51520.1390164026
2019-09-09,51536.55460263166
2019-09-10,51552.970188860716
2019-09-11,51569.38577508977
2019-09-16,51585.80136131883
2019-09-17,51602.21694754789
2019-09-18,51618.632533776945
2019-09-19,51635.048120006
2019-09-20,51651.46370623506
2019-09-23,51667.87929246412
2019-09-24,51684.294878693174
2019-09-25,51700.71046492223
2019-09-26,51717.12605115129
2019-09-27,51733.541637380345
2019-09-30,51749.9572236094
2019-10-01,51766.37280983846
2019-10-02,51782.78839606752
2019-10-04,51799.203982296574
2019-10-07,51815.61956852563
2019-10-08,51832.03515475469
2019-10-10,51848.450740983746
2019-10-11,51864.8663272128
2019-10-14,51881.28191344186
2019-10-15,51897.69749967092
2019-10-16,51914.113085899975
2019-10-17,51930.52867212903
2019-10-18,51946.94425835809
2019-10-21,51963.35984458715
2019-10-22,51979.775430816204
2019-10-23,51996.19101704526
2019-10-24,52012.60660327432
2019-10-25,52029.022189503376
2019-10-28,52045.43777573243
2019-10-29,52061.85336196149
2019-10-30,52078.26894819055
2019-10-31,52094.684534419604
2019-11-01,52111.10012064866
2019-11-04,52127.51570687772
2019-11-05,52143.931293106776
2019-11-06,52160.34687933583
2019-11-07,52176.76246556489
2019-11-08,52193.17805179395
2019-11-11,52209.593638023005
2019-11-12,52226.00922425206
2019-11-13,52242.42481048112
2019-11-14,52258.84039671018
2019-11-15,52275.255982939234
2019-11-18,52291.67156916829
2019-11-19,52308.08715539735
2019-11-20,52324.502741626406
2019-11-21,52340.91832785546
2019-11-22,52357.33391408452
2019-11-25,52373.74950031358
2019-11-26,52390.165086542635
2019-11-27,52406.58067277169
2019-11-28,52422.99625900075
2019-11-29,52439.411845229806
2019-12-02,52455.82743145886
2019-12-03,52472.24301768792
2019-12-04,52488.65860391698
2019-12-05,52505.074190146035
2019-12-06,52521.48977637509
2019-12-09,52537.90536260415
2019-12-10,52554.32094883321
2019-12-11,52570.736535062264
2019-12-12,52587.15212129132
2019-12-13,52603.56770752038
2019-12-16,52619.983293749436
2019-12-17,52636.39887997849
2019-12-18,52652.81446620755
2019-12-19,52669.23005243661
2019-12-20,52685.645638665665
2019-12-23,52702.06122489472
2019-12-24,52718.47681112378
2019-12-26,52734.892397352836
